# Time (ps)	MSD (nm^2)
381.000000	0.335273
382.000000	0.340127
383.000000	0.337523
384.000000	0.339989
385.000000	0.340375
386.000000	0.338864
387.000000	0.336486
388.000000	0.338241
389.000000	0.338214
390.000000	0.336639
391.000000	0.337956
392.000000	0.335586
393.000000	0.338299
394.000000	0.341641
395.000000	0.343018
396.000000	0.345551
397.000000	0.347084
398.000000	0.345408
399.000000	0.348612
400.000000	0.348403
401.000000	0.348521
402.000000	0.351336
403.000000	0.353329
404.000000	0.352866
405.000000	0.355237
406.000000	0.354788
407.000000	0.356437
408.000000	0.355614
409.000000	0.358343
410.000000	0.357419
411.000000	0.360667
412.000000	0.359166
413.000000	0.359055
414.000000	0.357032
415.000000	0.357817
416.000000	0.362306
417.000000	0.368970
418.000000	0.367342
419.000000	0.363201
420.000000	0.361644
421.000000	0.361520
422.000000	0.360719
423.000000	0.361603
424.000000	0.361896
425.000000	0.362904
426.000000	0.365984
427.000000	0.367618
428.000000	0.371163
429.000000	0.373770
430.000000	0.372222
431.000000	0.371653
432.000000	0.371873
433.000000	0.371844
434.000000	0.371410
435.000000	0.371307
436.000000	0.372928
437.000000	0.371038
438.000000	0.373025
439.000000	0.372533
440.000000	0.369688
441.000000	0.371806
442.000000	0.366195
443.000000	0.373184
444.000000	0.375586
445.000000	0.378352
446.000000	0.381576
447.000000	0.381172
448.000000	0.378788
449.000000	0.379817
450.000000	0.379922
451.000000	0.383094
452.000000	0.382212
453.000000	0.384226
454.000000	0.385257
455.000000	0.384263
456.000000	0.388530
457.000000	0.390716
458.000000	0.391455
459.000000	0.393228
460.000000	0.390247
461.000000	0.392754
462.000000	0.390590
463.000000	0.391715
464.000000	0.390833
465.000000	0.394004
466.000000	0.394056
467.000000	0.393971
468.000000	0.396393
469.000000	0.400120
470.000000	0.400752
471.000000	0.398378
472.000000	0.398438
473.000000	0.394926
474.000000	0.394408
475.000000	0.399190
476.000000	0.401616
477.000000	0.403468
478.000000	0.402096
479.000000	0.400238
480.000000	0.403786
481.000000	0.406755
482.000000	0.409992
483.000000	0.414500
484.000000	0.417999
485.000000	0.417134
486.000000	0.421127
487.000000	0.420147
488.000000	0.422280
489.000000	0.420670
490.000000	0.424459
491.000000	0.423515
492.000000	0.425224
493.000000	0.424692
494.000000	0.427230
495.000000	0.432363
496.000000	0.429770
497.000000	0.428499
498.000000	0.433939
499.000000	0.430909
500.000000	0.433803
501.000000	0.432791
502.000000	0.430276
503.000000	0.431192
504.000000	0.430729
505.000000	0.434707
506.000000	0.436416
507.000000	0.437003
508.000000	0.441471
509.000000	0.439273
510.000000	0.440210
511.000000	0.440907
512.000000	0.441845
513.000000	0.443161
514.000000	0.444256
515.000000	0.446170
516.000000	0.452173
517.000000	0.454050
518.000000	0.452751
519.000000	0.453206
520.000000	0.449653
521.000000	0.452074
522.000000	0.448980
523.000000	0.449333
524.000000	0.451115
525.000000	0.449652
526.000000	0.452355
527.000000	0.450777
528.000000	0.452571
529.000000	0.452071
530.000000	0.454059
531.000000	0.455032
532.000000	0.456673
533.000000	0.457749
534.000000	0.458675
535.000000	0.455561
536.000000	0.456334
537.000000	0.458448
538.000000	0.461576
539.000000	0.460340
540.000000	0.464531
541.000000	0.466585
542.000000	0.469478
543.000000	0.467448
544.000000	0.467257
545.000000	0.469337
546.000000	0.466772
547.000000	0.470712
548.000000	0.475993
549.000000	0.474674
550.000000	0.470391
551.000000	0.471932
552.000000	0.473843
553.000000	0.477802
554.000000	0.472252
555.000000	0.473546
556.000000	0.474139
557.000000	0.480500
558.000000	0.482931
559.000000	0.487423
560.000000	0.483704
561.000000	0.479961
562.000000	0.482064
563.000000	0.481843
564.000000	0.484615
565.000000	0.480687
566.000000	0.481373
567.000000	0.484365
568.000000	0.492854
569.000000	0.491777
570.000000	0.489408
571.000000	0.488362
572.000000	0.489144
573.000000	0.489465
574.000000	0.489903
575.000000	0.493587
576.000000	0.497353
577.000000	0.498881
578.000000	0.499828
579.000000	0.499364
580.000000	0.495429
581.000000	0.497353
582.000000	0.498683
583.000000	0.502997
584.000000	0.506556
585.000000	0.508501
586.000000	0.509035
587.000000	0.510169
588.000000	0.514359
589.000000	0.509726
590.000000	0.507050
591.000000	0.513794
592.000000	0.512019
593.000000	0.517338
594.000000	0.518637
595.000000	0.515272
596.000000	0.513243
597.000000	0.515475
598.000000	0.517632
599.000000	0.518240
600.000000	0.517659
601.000000	0.522201
602.000000	0.525695
603.000000	0.529868
604.000000	0.532740
605.000000	0.529853
606.000000	0.527011
607.000000	0.526028
608.000000	0.527210
609.000000	0.527939
610.000000	0.527061
611.000000	0.530501
612.000000	0.528195
613.000000	0.531320
614.000000	0.531626
615.000000	0.538677
616.000000	0.538776
617.000000	0.534185
618.000000	0.534292
619.000000	0.529754
620.000000	0.535122
621.000000	0.538736
622.000000	0.535641
623.000000	0.539388
624.000000	0.538849
625.000000	0.541621
626.000000	0.539747
627.000000	0.542342
628.000000	0.545408
629.000000	0.544801
630.000000	0.543949
631.000000	0.544754
632.000000	0.546270
633.000000	0.548548
634.000000	0.547777
635.000000	0.548087
636.000000	0.549132
637.000000	0.549545
638.000000	0.545945
639.000000	0.547116
640.000000	0.556281
641.000000	0.557036
642.000000	0.558646
643.000000	0.559597
644.000000	0.562084
645.000000	0.564129
646.000000	0.567138
647.000000	0.565990
648.000000	0.563331
649.000000	0.561462
650.000000	0.563369
651.000000	0.565394
652.000000	0.568060
653.000000	0.571335
654.000000	0.570890
655.000000	0.570107
656.000000	0.570152
657.000000	0.568772
658.000000	0.564083
659.000000	0.563935
660.000000	0.561968
661.000000	0.558888
662.000000	0.560230
663.000000	0.560767
664.000000	0.568912
665.000000	0.571906
666.000000	0.572430
667.000000	0.577671
668.000000	0.580845
669.000000	0.576038
670.000000	0.574366
671.000000	0.575399
672.000000	0.574216
673.000000	0.577446
674.000000	0.575097
675.000000	0.581873
676.000000	0.581468
677.000000	0.577756
678.000000	0.573654
679.000000	0.574180
680.000000	0.572799
681.000000	0.575513
682.000000	0.577719
683.000000	0.577131
684.000000	0.583779
685.000000	0.585184
686.000000	0.586540
687.000000	0.589856
688.000000	0.588401
689.000000	0.585473
690.000000	0.584773
691.000000	0.586928
692.000000	0.588059
693.000000	0.585654
694.000000	0.584664
695.000000	0.586413
696.000000	0.584384
697.000000	0.586677
698.000000	0.592055
699.000000	0.592749
700.000000	0.592896
701.000000	0.593285
702.000000	0.594998
703.000000	0.588018
704.000000	0.582910
705.000000	0.588023
706.000000	0.591034
707.000000	0.587672
708.000000	0.592060
709.000000	0.587181
710.000000	0.591256
711.000000	0.592949
712.000000	0.588676
713.000000	0.590073
714.000000	0.593969
715.000000	0.595699
716.000000	0.596077
717.000000	0.593546
718.000000	0.592742
719.000000	0.592501
720.000000	0.592961
721.000000	0.594560
722.000000	0.600829
723.000000	0.599543
724.000000	0.599773
725.000000	0.604720
726.000000	0.605676
727.000000	0.605755
728.000000	0.606445
729.000000	0.604605
730.000000	0.606688
731.000000	0.608362
732.000000	0.608777
733.000000	0.608858
734.000000	0.609973
735.000000	0.602716
736.000000	0.606175
737.000000	0.608632
738.000000	0.608577
739.000000	0.605861
740.000000	0.610640
741.000000	0.610066
742.000000	0.611404
743.000000	0.607929
744.000000	0.613316
745.000000	0.609655
746.000000	0.608815
747.000000	0.610897
748.000000	0.611722
749.000000	0.611404
750.000000	0.615421
751.000000	0.615171
752.000000	0.616082
753.000000	0.617062
754.000000	0.620055
755.000000	0.617759
756.000000	0.620478
757.000000	0.622752
758.000000	0.622951
759.000000	0.621766
760.000000	0.619524
761.000000	0.618263
762.000000	0.621221
763.000000	0.622098
764.000000	0.624900
765.000000	0.629914
766.000000	0.634284
767.000000	0.635710
768.000000	0.632188
769.000000	0.630573
770.000000	0.630663
771.000000	0.628297
772.000000	0.631719
773.000000	0.632417
774.000000	0.632872
775.000000	0.630633
776.000000	0.634118
777.000000	0.633642
778.000000	0.634550
779.000000	0.634211
780.000000	0.635698
781.000000	0.635913
782.000000	0.639194
783.000000	0.640891
784.000000	0.643250
