# Time (ps)	MSD (nm^2)
552.000000	0.409128
553.000000	0.409561
554.000000	0.407498
555.000000	0.407656
556.000000	0.407868
557.000000	0.407602
558.000000	0.405093
559.000000	0.405092
560.000000	0.404419
561.000000	0.406830
562.000000	0.406776
563.000000	0.404038
564.000000	0.402756
565.000000	0.405687
566.000000	0.403244
567.000000	0.405152
568.000000	0.406525
569.000000	0.408453
570.000000	0.408687
571.000000	0.411067
572.000000	0.414353
573.000000	0.414790
574.000000	0.411436
575.000000	0.416319
576.000000	0.417700
577.000000	0.417506
578.000000	0.417838
579.000000	0.416148
580.000000	0.416814
581.000000	0.414196
582.000000	0.413861
583.000000	0.419126
584.000000	0.421902
585.000000	0.422802
586.000000	0.423223
587.000000	0.420234
588.000000	0.418129
589.000000	0.417669
590.000000	0.415614
591.000000	0.415348
592.000000	0.415277
593.000000	0.418171
594.000000	0.414597
595.000000	0.417771
596.000000	0.424592
597.000000	0.422440
598.000000	0.423312
599.000000	0.422592
600.000000	0.426391
601.000000	0.428625
602.000000	0.433306
603.000000	0.429427
604.000000	0.431009
605.000000	0.433430
606.000000	0.433127
607.000000	0.435136
608.000000	0.438290
609.000000	0.435847
610.000000	0.439547
611.000000	0.441397
612.000000	0.443899
613.000000	0.442653
614.000000	0.442417
615.000000	0.443809
616.000000	0.446497
617.000000	0.445047
618.000000	0.446006
619.000000	0.447721
620.000000	0.448293
621.000000	0.448352
622.000000	0.445366
623.000000	0.443164
624.000000	0.446877
625.000000	0.448486
626.000000	0.451496
627.000000	0.453231
628.000000	0.451461
629.000000	0.450456
630.000000	0.454030
631.000000	0.454452
632.000000	0.454455
633.000000	0.456428
634.000000	0.456171
635.000000	0.457178
636.000000	0.456783
637.000000	0.457333
638.000000	0.454161
639.000000	0.455793
640.000000	0.454501
641.000000	0.450954
642.000000	0.449758
643.000000	0.451889
644.000000	0.453090
645.000000	0.450478
646.000000	0.453545
647.000000	0.456880
648.000000	0.451935
649.000000	0.454922
650.000000	0.452511
651.000000	0.452836
652.000000	0.453068
653.000000	0.457499
654.000000	0.460437
655.000000	0.458787
656.000000	0.457096
657.000000	0.461942
658.000000	0.461973
659.000000	0.459138
660.000000	0.464661
661.000000	0.463720
662.000000	0.466761
663.000000	0.468471
664.000000	0.468500
665.000000	0.467184
666.000000	0.468116
667.000000	0.469998
668.000000	0.467254
669.000000	0.465994
670.000000	0.469601
671.000000	0.474102
672.000000	0.473248
673.000000	0.472522
674.000000	0.472967
675.000000	0.467307
676.000000	0.466380
677.000000	0.469671
678.000000	0.475781
679.000000	0.474601
680.000000	0.475028
681.000000	0.475096
682.000000	0.480938
683.000000	0.481705
684.000000	0.480792
685.000000	0.484398
686.000000	0.483905
687.000000	0.483399
688.000000	0.485571
689.000000	0.489011
690.000000	0.491419
691.000000	0.486677
692.000000	0.486526
693.000000	0.489777
694.000000	0.489095
695.000000	0.487190
696.000000	0.487597
697.000000	0.487175
698.000000	0.488149
699.000000	0.490042
700.000000	0.489649
701.000000	0.488016
702.000000	0.491095
703.000000	0.490785
704.000000	0.493536
705.000000	0.495317
706.000000	0.499687
707.000000	0.499283
708.000000	0.504880
709.000000	0.508956
710.000000	0.506781
711.000000	0.501263
712.000000	0.503220
713.000000	0.502243
714.000000	0.505520
715.000000	0.505674
716.000000	0.509050
717.000000	0.507485
718.000000	0.514848
719.000000	0.513072
720.000000	0.507949
721.000000	0.506826
722.000000	0.508458
723.000000	0.512476
724.000000	0.512985
725.000000	0.512310
726.000000	0.514300
727.000000	0.518528
728.000000	0.519588
729.000000	0.519417
730.000000	0.515727
731.000000	0.515363
732.000000	0.518770
733.000000	0.517308
734.000000	0.513784
735.000000	0.516136
736.000000	0.516043
737.000000	0.518019
738.000000	0.515058
739.000000	0.511282
740.000000	0.516378
741.000000	0.520200
742.000000	0.522037
743.000000	0.520731
744.000000	0.516262
745.000000	0.516546
746.000000	0.516615
747.000000	0.517358
748.000000	0.515849
749.000000	0.516313
750.000000	0.515972
751.000000	0.513458
752.000000	0.515061
753.000000	0.512700
754.000000	0.514884
755.000000	0.517070
756.000000	0.516422
757.000000	0.518411
758.000000	0.520755
759.000000	0.520921
760.000000	0.521715
761.000000	0.518546
762.000000	0.520512
763.000000	0.519105
764.000000	0.519196
765.000000	0.517769
766.000000	0.521939
767.000000	0.521869
768.000000	0.521437
769.000000	0.520122
770.000000	0.521504
771.000000	0.526988
772.000000	0.524457
773.000000	0.521350
774.000000	0.519174
775.000000	0.519264
776.000000	0.514485
777.000000	0.516649
778.000000	0.521951
779.000000	0.519707
780.000000	0.521827
781.000000	0.520300
782.000000	0.526964
783.000000	0.527052
784.000000	0.527286
785.000000	0.524811
786.000000	0.524829
787.000000	0.526175
788.000000	0.522519
789.000000	0.522700
790.000000	0.520496
791.000000	0.520216
792.000000	0.519119
793.000000	0.521038
794.000000	0.521214
795.000000	0.527695
796.000000	0.526719
797.000000	0.525659
798.000000	0.527655
799.000000	0.533185
800.000000	0.533596
801.000000	0.535349
802.000000	0.538868
803.000000	0.535642
804.000000	0.536622
805.000000	0.534757
806.000000	0.535030
807.000000	0.530900
808.000000	0.537219
809.000000	0.537094
810.000000	0.540002
811.000000	0.542852
812.000000	0.544113
813.000000	0.541524
814.000000	0.543786
815.000000	0.539671
816.000000	0.538504
817.000000	0.535610
818.000000	0.539474
819.000000	0.537879
820.000000	0.541551
821.000000	0.542223
822.000000	0.539789
823.000000	0.540042
824.000000	0.542092
825.000000	0.545244
826.000000	0.545439
827.000000	0.543651
828.000000	0.540599
829.000000	0.538415
830.000000	0.542550
831.000000	0.545039
832.000000	0.547283
833.000000	0.544884
834.000000	0.547896
835.000000	0.546864
836.000000	0.549067
837.000000	0.546398
838.000000	0.542502
839.000000	0.541215
840.000000	0.540174
841.000000	0.543285
842.000000	0.541634
843.000000	0.545108
844.000000	0.545973
845.000000	0.552015
846.000000	0.548289
847.000000	0.549165
848.000000	0.547997
849.000000	0.544791
850.000000	0.543911
851.000000	0.546693
852.000000	0.545664
853.000000	0.546080
854.000000	0.548711
855.000000	0.549363
856.000000	0.553053
857.000000	0.555215
858.000000	0.556295
859.000000	0.555358
860.000000	0.557694
861.000000	0.553384
862.000000	0.553494
863.000000	0.554408
864.000000	0.555617
865.000000	0.556247
866.000000	0.555825
867.000000	0.555959
868.000000	0.555833
869.000000	0.553764
870.000000	0.551584
871.000000	0.559417
872.000000	0.559598
873.000000	0.561357
874.000000	0.567262
875.000000	0.562041
876.000000	0.561872
877.000000	0.565949
878.000000	0.568695
879.000000	0.572080
880.000000	0.567203
881.000000	0.568113
882.000000	0.568471
883.000000	0.573042
884.000000	0.576441
885.000000	0.577715
886.000000	0.575202
887.000000	0.578406
888.000000	0.574396
889.000000	0.573960
890.000000	0.572773
891.000000	0.578201
892.000000	0.577424
893.000000	0.575345
894.000000	0.574843
895.000000	0.575747
896.000000	0.583364
897.000000	0.576691
898.000000	0.583583
899.000000	0.581730
900.000000	0.582323
901.000000	0.584390
902.000000	0.580817
903.000000	0.582513
904.000000	0.587958
905.000000	0.590412
906.000000	0.591970
907.000000	0.591817
908.000000	0.591662
909.000000	0.586597
910.000000	0.585272
911.000000	0.586779
912.000000	0.589069
913.000000	0.585714
914.000000	0.585391
915.000000	0.585682
916.000000	0.585972
917.000000	0.586916
918.000000	0.584330
919.000000	0.585202
920.000000	0.583169
921.000000	0.581794
922.000000	0.585334
923.000000	0.585835
924.000000	0.583955
925.000000	0.590445
926.000000	0.593758
927.000000	0.593881
928.000000	0.598690
929.000000	0.599295
930.000000	0.596503
931.000000	0.595873
932.000000	0.594383
933.000000	0.595347
934.000000	0.593195
935.000000	0.598451
936.000000	0.602912
937.000000	0.600722
938.000000	0.606908
939.000000	0.603415
940.000000	0.606813
941.000000	0.608032
942.000000	0.608075
943.000000	0.611140
944.000000	0.612071
945.000000	0.612536
946.000000	0.609665
947.000000	0.608381
948.000000	0.608291
949.000000	0.611062
950.000000	0.608888
951.000000	0.605388
952.000000	0.606795
953.000000	0.609523
954.000000	0.612403
955.000000	0.618543
956.000000	0.616338
957.000000	0.613723
958.000000	0.609939
959.000000	0.611411
960.000000	0.614042
